Cust. #,State,Male ,Female,1st egg,Eggs,Fledge,Year
141460,TX,SY,ASY,5/7/04,3,0,2004
141460,TX,ASY,ASY,4/24/04,5,2,2004
141460,TX,SY,SY,4/29/04,4,4,2004
141460,TX,ASY,ASY,4/25/04,6,6,2004
141460,TX,SY,SY,5/2/04,5,4,2004
141460,TX,SY,SY,5/1/04,4,3,2004
39752,AL,ASY,ASY,4/22/95,5,5,1995
39752,AL,SY,SY,5/17/95,4,3,1995
39752,AL,SY,SY,5/2/95,5,3,1995
39752,AL,ASY,ASY,5/3/95,5,0,1995
39752,AL,SY,SY,5/2/95,6,0,1995
39752,AL,ASY,ASY,4/21/95,5,5,1995
39752,AL,,,5/5/95,5,4,1995
39752,AL,SY,SY,5/1/95,4,4,1995
39752,AL,ASY,SY,5/3/95,6,4,1995
39752,AL,SY,ASY,5/1/95,5,5,1995
39752,AL,ASY,ASY,5/3/95,5,4,1995
39752,AL,SY,SY,5/9-5/10,4,3,1995
39752,AL,,,5/9-5/11,3,3,1995
39752,AL,ASY,ASY,5/4/96,5,5,1996
39752,AL,ASY,ASY,5/4/96,7,5,1996
39752,AL,ASY,ASY,5/5/96,6,5,1996
39752,AL,SY,SY,5/6/96,6,5,1996
39752,AL,ASY,SY,5/15/96,3,3,1996
39752,AL,SY,SY,5/6/96,5,3,1996
39752,AL,ASY,SY,5/8/96,5,4,1996
39752,AL,ASY,ASY,4/25/96,6,5,1996
39752,AL,ASY,SY,5/5/96,7,6,1996
39752,AL,SY,SY,5/13/96,1,0,1996
39752,AL,ASY,SY,5/8/96,5,5,1996
39752,AL,SY,SY,5/21/96,4,4,1996
39752,AL,ASY,ASY,5/5/96,4,4,1996
39752,AL,ASY,ASY,5/2/96,5,0,1996
39752,AL,ASY,ASY,5/3/96,4,4,1996
39752,AL,SY,SY,5/10/96,3,0,1996
39752,AL,SY,SY,5/13/96,5,3,1996
39752,AL,ASY,ASY,5/4/97,6,6,1997
39752,AL,ASY,ASY,4/13/97,5,5,1997
39752,AL,ASY,ASY,4/22/97,5,5,1997
39752,AL,ASY,ASY,4/20/97,6,6,1997
39752,AL,ASY,ASY,4/26/97,5,4,1997
39752,AL,ASY,ASY,4/20/97,5,4,1997
39752,AL,ASY,SY,4/28/97,7,6,1997
39752,AL,ASY,ASY,4/11/97,6,5,1997
39752,AL,ASY,SY,4/19/97,5,4,1997
39752,AL,SY,ASY,4/18/97,5,4,1997
39752,AL,ASY,ASY,4/11/97,6,5,1997
39752,AL,ASY,ASY,4/20/97,5,5,1997
39752,AL,ASY,SY,4/21/97,6,5,1997
39752,AL,ASY,ASY,4/19/97,6,6,1997
39752,AL,SY,SY,5/16/97,5,4,1997
39752,AL,SY,SY,5/1/97,4,1,1997
39752,AL,SY,SY,5/5/97,4,4,1997
39752,AL,SY,SY,5/4/97,4,2,1997
39752,AL,ASY,ASY,5/4/97,6,6,1997
39752,AL,ASY,ASY,4/13/97,5,5,1997
39752,AL,ASY,ASY,4/22/97,5,5,1997
39752,AL,ASY,ASY,4/20/97,6,6,1997
39752,AL,ASY,ASY,4/26/97,5,4,1997
39752,AL,ASY,ASY,4/20/97,5,4,1997
39752,AL,ASY,SY,4/28/97,7,6,1997
39752,AL,ASY,ASY,4/11/97,6,5,1997
39752,AL,ASY,SY,4/19/97,5,4,1997
39752,AL,SY,ASY,4/18/97,5,4,1997
39752,AL,ASY,ASY,4/11/97,6,5,1997
39752,AL,ASY,ASY,4/20/97,5,5,1997
