CITY,DATE,AGE,YEAR
"ELKMONT, AL",5/30/24,Adult,2024
"Arab, AL",4/26/24,Adult,2024
"Jacksons Gap, AL",4/21/24,Adult,2024
"Wadley, AL",4/12/24,Adult,2024
"Lacey’s Spring, AL",4/12/24,Adult,2024
"Bryant, AL",3/20/24,Adult,2024
"HARVEST, AL",3/12/24,Adult,2024
"Ider, AL",3/12/24,Adult,2024
"Cherokee, AL",3/12/24,Adult,2024
"Weaver, AL",3/12/24,Adult,2024
"Athens, AL",3/11/24,Adult,2024
"Russellville, AL",3/10/24,Adult,2024
"Russellville, AL",3/10/24,Adult,2024
"Moundville, AL",3/9/24,Adult,2024
"Huntsville, AL",3/7/24,Adult,2024
"Grand Bay, AL",3/7/24,Adult,2024
"Chatom, AL",3/6/24,Adult,2024
"Fort Mitchell, AL",3/6/24,Adult,2024
"Huntsville, AL",3/5/24,Adult,2024
"Section, AL",3/5/24,Adult,2024
"BRIERFIELD, AL",3/4/24,Adult,2024
"Prattville, AL",3/4/24,Adult,2024
"GistTown, Al., AL",3/3/24,Adult,2024
"Meridianville, AL",3/3/24,Adult,2024
"Owens Cross Roads, AL",3/2/24,Adult,2024
"Florence, AL",3/2/24,Adult,2024
"Double Springs, AL",3/1/24,Adult,2024
"Kennedy, AL",3/1/24,Adult,2024
"Gadsden, AL",2/28/24,Adult,2024
"Deatsville, AL",2/27/24,Adult,2024
"Hamilton, AL",2/26/24,Adult,2024
"Northport, AL",2/26/24,Adult,2024
"Hartselle, AL",2/25/24,Adult,2024
"Clanton, AL",2/25/24,Adult,2024
"New Market, AL",2/24/24,Adult,2024
"Marbury, AL",2/24/24,Adult,2024
"Coker, AL",2/23/24,Adult,2024
"Uriah, AL",2/23/24,Adult,2024
"Centre, AL",2/22/24,Adult,2024
"Montevallo, AL",2/22/24,Adult,2024
"Jasper, AL",2/21/24,Adult,2024
"Marion, AL",2/20/24,Adult,2024
"Cherokee, AL",2/20/24,Adult,2024
"Cherokee, AL",2/20/24,Adult,2024
"Meridianville, AL",2/20/24,Adult,2024
"Cullman, AL",2/20/24,Adult,2024
"Opelika, AL",2/19/24,Adult,2024
"Prattville, AL",2/18/24,Adult,2024
"Boligee, AL",2/18/24,Adult,2024
"Honoraville, AL",2/18/24,Adult,2024
"Fort Morgan, AL",2/16/24,Adult,2024
"WOODSTOCK, AL",2/16/24,Adult,2024
"Muscle Shoals, AL",2/15/24,Adult,2024
"Albertville, AL",2/14/24,Adult,2024
"Prairieville. Al., AL",2/14/24,Adult,2024
"Horton, AL",2/14/24,Adult,2024
"Grove Hill, AL",2/14/24,Adult,2024
"Tuscumbia, AL",2/12/24,Adult,2024
"Sterrett, AL",2/12/24,Adult,2024
"Point Clear, AL",2/12/24,Adult,2024
"Moulton, AL",2/11/24,Adult,2024
"Loxley, AL",2/11/24,Adult,2024
"Albertville, AL",2/10/24,Adult,2024
"Albertville, AL",2/10/24,Adult,2024
"Newbern, AL",2/10/24,Adult,2024
"Galliion, AL",2/10/24,Adult,2024
"blountsville alabama, AL",2/10/24,Adult,2024
"Selma, AL",2/10/24,Adult,2024
"Deatsville, AL",2/10/24,Adult,2024
"Wetumpka, AL",2/9/24,Adult,2024
"Livingston, AL",2/9/24,Adult,2024
"Rainsville, AL",2/9/24,Adult,2024
"BRIERFIELD, AL",2/9/24,Adult,2024
"BRIERFIELD, AL",2/9/24,Adult,2024
"Phenix City, AL",2/9/24,Adult,2024
"Auburn, AL",2/9/24,Adult,2024
"Jack, AL",2/9/24,Adult,2024
"Jack, AL",2/9/24,Adult,2024
"Greenhill, AL",2/9/24,Adult,2024
"Dozier, AL",2/8/24,Adult,2024
"Bay Minette, AL",2/8/24,Adult,2024
"Jackson, AL",2/8/24,Adult,2024
"Decatur, AL",2/7/24,Adult,2024
"Huntsville, AL",2/7/24,Adult,2024
"Moundville, AL",2/6/24,Adult,2024
"VALLEY GRANDE, AL",2/6/24,Adult,2024
"Josephine, AL",2/6/24,Adult,2024
"Georgiana, AL",2/6/24,Adult,2024
"Wetumpka, Al., AL",2/6/24,Adult,2024
"Wetumpka, AL",2/6/24,Adult,2024
"Gulf Shores, AL",2/4/24,Adult,2024
"Gulf Shores, AL",2/4/24,Adult,2024
"Coden, AL",2/4/24,Adult,2024
"Leroy, AL",2/3/24,Adult,2024
"Slocomb, AL",2/3/24,Adult,2024
"Eufaula, AL",2/3/24,Adult,2024
"Dothan, AL",2/3/24,Adult,2024
"FLORALA, AL",2/3/24,Adult,2024
"Headland, AL",2/2/24,Adult,2024
"Mobile, AL",2/2/24,Adult,2024
"Northport, AL",2/1/24,Adult,2024
"Bay Minette, AL",1/31/24,Adult,2024
"Slocomb, AL",1/31/24,Adult,2024
"Enterprise, AL",1/29/24,Adult,2024
"Enterprise, AL",1/27/24,Adult,2024
"Ozark, AL",1/26/24,Adult,2024
"Greenville, AL",1/26/24,Adult,2024
"Ashford, AL",1/25/24,Adult,2024
"Enterprise, AL",1/24/24,Adult,2024
"Ider, AL",5/6/24,Subadult,2024
"Jacksons Gap, AL",5/4/24,Subadult,2024
"Killen, AL",4/29/24,Subadult,2024
"Russellville, AL",4/14/24,Subadult,2024
"Gadsden, AL",4/5/24,Subadult,2024
"WOODSTOCK, AL",3/26/24,Subadult,2024
"Cullman, AL",3/16/24,Subadult,2024
"Gulf Shores, AL",3/13/24,Subadult,2024
"Arab, AL",4/19/23,Adult,2023
"Killen, AL",4/19/23,Adult,2023
"Elkmont, AL",4/15/23,Adult,2023
"Hampton Cove, AL",4/9/23,Adult,2023
"Fairhope, AL",3/28/23,Adult,2023
"Moundville, AL",3/24/23,Adult,2023
"Sylacauga, AL",3/19/23,Adult,2023
"Russellville, AL",3/11/23,Adult,2023
"Dora, AL",3/10/23,Adult,2023
"Madison, AL",3/7/23,Adult,2023
"Gadsden, AL",3/6/23,Adult,2023
"Georgiana, AL",3/6/23,Adult,2023
"Ider, AL",3/5/23,Adult,2023
"HUNTSVILLE, AL",3/4/23,Adult,2023
"Owens Cross Roads, AL",3/4/23,Adult,2023
"GistTown, AL",3/4/23,Adult,2023
"BRIERFIELD, AL",3/4/23,Adult,2023
"Horton, AL",3/3/23,Adult,2023
"WOODSTOCK, AL",3/3/23,Adult,2023
"Albertville, AL",3/2/23,Adult,2023
"Athens, AL",2/28/23,Adult,2023
"Huntsville, AL",2/28/23,Adult,2023
"Bryant, AL",2/27/23,Adult,2023
"Gallion, AL",2/26/23,Adult,2023
"Kennedy, AL",2/26/23,Adult,2023
"Honoraville, AL",2/25/23,Adult,2023
"Double Springs, AL",2/24/23,Adult,2023
"Grand Bay, AL",2/24/23,Adult,2023
"Huntsville, AL",2/23/23,Adult,2023
"Horton, AL",2/23/23,Adult,2023
"Rogersville, AL",2/23/23,Adult,2023
"HARVEST, AL",2/23/23,Adult,2023
"Huntsville, AL",2/23/23,Adult,2023
"Athens, AL",2/23/23,Adult,2023
"Jasper, AL",2/22/23,Adult,2023
"Decatur, AL",2/22/23,Adult,2023
"Meridianville, AL",2/22/23,Adult,2023
"Town Creek, AL",2/22/23,Adult,2023
"Cullman, AL",2/22/23,Adult,2023
"Spanish Fort/Bromley, AL",2/21/23,Adult,2023
"Dauphin Island, AL",2/21/23,Adult,2023
"Fairhope, AL",2/21/23,Adult,2023
"Albertville, AL",2/20/23,Adult,2023
"Wadley, AL",2/20/23,Adult,2023
"Mobile, AL",2/20/23,Adult,2023
"Marbury, AL",2/19/23,Adult,2023
"Centre, AL",2/19/23,Adult,2023
"MOBILE, AL",2/19/23,Adult,2023
"Florence, AL",2/19/23,Adult,2023
"Tuscumbia, AL",2/18/23,Adult,2023
"Prattville, AL",2/18/23,Adult,2023
"Boligee, AL",2/18/23,Adult,2023
