CITY,DATE,AGE,YEAR
"Gentry, AR",3/27/24,Adult,2024
"mountain home, AR",3/25/24,Adult,2024
"Mountain Home, AR",3/12/24,Adult,2024
"Mountain Home, AR",3/11/24,Adult,2024
"Harrison, AR",3/11/24,Adult,2024
"Manila, AR",3/10/24,Adult,2024
"Harrison, AR",3/10/24,Adult,2024
"Hot Springs, AR",3/8/24,Adult,2024
"Gentry, AR",3/8/24,Adult,2024
"Omaha, AR",3/6/24,Adult,2024
"Norphlet, AR",3/5/24,Adult,2024
"Stuttgart, AR",3/5/24,Adult,2024
"Wynne, AR",3/4/24,Adult,2024
"CLARKSVILLE, AR",3/4/24,Adult,2024
"Jacksonville, AR",3/4/24,Adult,2024
"Russellville, AR",3/3/24,Adult,2024
"Hardy, AR",3/3/24,Adult,2024
"Hensley, AR",3/3/24,Adult,2024
"Gentry, AR",3/3/24,Adult,2024
"Marion, AR",3/2/24,Adult,2024
"Rogers, AR",3/2/24,Adult,2024
"Lake City, AR",3/2/24,Adult,2024
"Hot Springs, AR",3/2/24,Adult,2024
"Little Rock, AR",3/1/24,Adult,2024
"Paragould, AR",3/1/24,Adult,2024
"Lepanto, AR",3/1/24,Adult,2024
"Siloam Springs, AR",3/1/24,Adult,2024
"Bentonville, AR",3/1/24,Adult,2024
"Western Grove, AR",2/28/24,Adult,2024
"Cabot, AR",2/27/24,Adult,2024
"Sherwood, AR",2/26/24,Adult,2024
"Fort Smith, AR",2/26/24,Adult,2024
"Jonesboro, AR",2/25/24,Adult,2024
"Hot Springs Village, AR",2/25/24,Adult,2024
"Searcy, AR",2/25/24,Adult,2024
"Gentry, AR",2/25/24,Adult,2024
"Siloam Springs, AR",2/24/24,Adult,2024
"Marion, AR",2/23/24,Adult,2024
"Kingston, AR",2/23/24,Adult,2024
"DeWitt, AR",2/23/24,Adult,2024
"De Witt, AR",2/23/24,Adult,2024
"Nashville, AR",2/23/24,Adult,2024
"Blytheville, AR",2/22/24,Adult,2024
"marion, AR",2/22/24,Adult,2024
"Greenbrier, AR",2/22/24,Adult,2024
"White Hall, AR",2/22/24,Adult,2024
"Monette, AR",2/21/24,Adult,2024
"Fort Smith, AR",2/21/24,Adult,2024
"Lepanto, AR",2/21/24,Adult,2024
"Prescott , AR",2/21/24,Adult,2024
"Van Buren, AR",2/20/24,Adult,2024
"Sheridan, AR",2/20/24,Adult,2024
"Tontitown, AR",2/20/24,Adult,2024
"Greenwood, AR",2/19/24,Adult,2024
"MANILA, AR",2/19/24,Adult,2024
"Lepanto, AR",2/19/24,Adult,2024
"Magazine, AR",2/14/24,Adult,2024
"Warren, AR",2/14/24,Adult,2024
"Austin, AR",2/14/24,Adult,2024
"Brookland, AR",2/14/24,Adult,2024
"Ben Lomond, AR",2/10/24,Adult,2024
"Marion, AR",2/10/24,Adult,2024
"Hamton, AR",2/9/24,Adult,2024
"Marion, AR",2/9/24,Adult,2024
"Hermitage, AR",2/6/24,Adult,2024
"Wheatley, AR",2/4/24,Adult,2024
"Jonesboro, AR",4/27/24,Subadult,2024
"Greenwood, AR",4/12/24,Subadult,2024
