CITY,DATE,AGE,YEAR
"Kissimmee, FL",3/20/24,Adult,2024
"Crestview, FL",3/3/24,Adult,2024
"Fernandina Beach, FL",2/28/24,Adult,2024
"Pinecrest, FL",2/25/24,Adult,2024
"cutler bay, FL",2/24/24,Adult,2024
"The Villages, FL",2/22/24,Adult,2024
"Weeki Wachee, FL",2/18/24,Adult,2024
"McAlpin, FL",2/18/24,Adult,2024
"Pensacola, FL",2/17/24,Adult,2024
"East palatka, FL",2/17/24,Adult,2024
"Ormond Beach, FL",2/16/24,Adult,2024
"Shalimar, FL",2/14/24,Adult,2024
"Deltona, FL",2/13/24,Adult,2024
"Mount Dora, FL",2/11/24,Adult,2024
"St Augustine, FL",2/11/24,Adult,2024
"Molino, FL",2/9/24,Adult,2024
"Panama City, FL",2/9/24,Adult,2024
"Niceville, FL",2/9/24,Adult,2024
"Chipley, FL",2/9/24,Adult,2024
"Jacksonville, FL",2/8/24,Adult,2024
"Palm City, FL",2/8/24,Adult,2024
"Cape Coral, FL",2/7/24,Adult,2024
"Naples, FL",2/7/24,Adult,2024
"Navarre, FL",2/6/24,Adult,2024
"The Villages, FL",2/6/24,Adult,2024
"Defuniak Springs, FL",2/6/24,Adult,2024
"Madison, FL",2/6/24,Adult,2024
"Baker, FL",2/5/24,Adult,2024
"Alachua, FL",2/5/24,Adult,2024
"Cantonment, FL",2/5/24,Adult,2024
"Fernandina Beach, FL",2/5/24,Adult,2024
"Port Charlotte, FL",2/5/24,Adult,2024
"Gainesville, FL",2/4/24,Adult,2024
"Jacksonville, FL",2/4/24,Adult,2024
"Fort Lauderdale, FL",2/3/24,Adult,2024
"Bonifay, FL",2/3/24,Adult,2024
"Mary Esther, FL",2/3/24,Adult,2024
"Lynn Haven, FL",2/3/24,Adult,2024
"Sun City Center, FL",2/3/24,Adult,2024
"Fountain, FL",2/3/24,Adult,2024
"Clarksville, FL",2/3/24,Adult,2024
"Clermont, FL",2/3/24,Adult,2024
"Coconut Creek, FL",2/2/24,Adult,2024
"Merritt Island, FL",2/2/24,Adult,2024
"Pensacola, FL",2/2/24,Adult,2024
"Carrabelle, FL",2/1/24,Adult,2024
"Boca Raton, FL",2/1/24,Adult,2024
"W Melbourne, FL",2/1/24,Adult,2024
"W Melbourne, FL",2/1/24,Adult,2024
"Mexico Beach, FL",2/1/24,Adult,2024
"Mexico Beach, FL",2/1/24,Adult,2024
"Chipley, FL",2/1/24,Adult,2024
"Wellington, FL",2/1/24,Adult,2024
"Live Oak, FL",2/1/24,Adult,2024
"Cantonment, FL",2/1/24,Adult,2024
"Monticello, FL",1/30/24,Adult,2024
"Marco Island, FL",1/30/24,Adult,2024
"Salt Springs, FL",1/28/24,Adult,2024
"Holt, FL",1/28/24,Adult,2024
"Morriston, FL",1/28/24,Adult,2024
"Naples, FL",1/27/24,Adult,2024
"Punta Gorda, FL",1/26/24,Adult,2024
"Sarasota, FL",1/26/24,Adult,2024
"Pompano Beach, FL",1/26/24,Adult,2024
"Deerfield Beach, FL",1/26/24,Adult,2024
"Chipley, FL",1/26/24,Adult,2024
"Jupiter, FL",1/26/24,Adult,2024
"Wellington, FL",1/26/24,Adult,2024
"Tallahassee, FL",1/26/24,Adult,2024
"Wellington, FL",1/26/24,Adult,2024
"Pompano Beach, FL",1/25/24,Adult,2024
"Palm Bay, FL",1/25/24,Adult,2024
"Gainesville, FL",1/25/24,Adult,2024
"Frostproof , FL",1/25/24,Adult,2024
"Cape Coral, FL",1/25/24,Adult,2024
"Pompano Beach, FL",1/24/24,Adult,2024
"Pinellas Park, FL",1/22/24,Adult,2024
"Plant City, FL",1/20/24,Adult,2024
"Orlando, FL",1/20/24,Adult,2024
"Naples, FL",1/19/24,Adult,2024
"Orlando, FL",1/19/24,Adult,2024
"Plant City, FL",1/19/24,Adult,2024
"Grand Ridge, FL",1/19/24,Adult,2024
"Lake Wortg, FL",1/19/24,Adult,2024
"Davie, FL",1/18/24,Adult,2024
"Boynton Beach, FL",1/18/24,Adult,2024
"Groveland, FL",1/18/24,Adult,2024
"Lake City, FL",1/17/24,Adult,2024
"Cocoa Beach, FL",1/17/24,Adult,2024
"Venice, FL",1/17/24,Adult,2024
"Westlake, FL",1/17/24,Adult,2024
"Port Charlotte, FL",1/17/24,Adult,2024
"Bradenton, FL",1/17/24,Adult,2024
"Port Charlotte, FL",1/17/24,Adult,2024
"CAPE CORAL, FL",1/16/24,Adult,2024
"Coconut Creek, FL",1/16/24,Adult,2024
"Clermont, FL",1/16/24,Adult,2024
"Carrabelle Beach, FL",1/16/24,Adult,2024
"Miramar, FL",1/16/24,Adult,2024
"Fort Myers, FL",1/15/24,Adult,2024
"Wellington, FL",1/15/24,Adult,2024
"Belleview, FL",1/15/24,Adult,2024
"Clermont, FL",1/15/24,Adult,2024
"OAKLAND, FL",1/14/24,Adult,2024
"Blountstown, FL",1/13/24,Adult,2024
"Webster, FL",1/13/24,Adult,2024
"Lake Worth, FL",1/13/24,Adult,2024
"Babson Park, FL",1/13/24,Adult,2024
"Ft Myers, FL",1/13/24,Adult,2024
"babson park, FL",1/13/24,Adult,2024
"Delray Beach, FL",1/12/24,Adult,2024
"Jupiter, FL",1/12/24,Adult,2024
"Auburndale, FL",1/12/24,Adult,2024
"Planation, FL",1/11/24,Adult,2024
"Pembroke Pines, FL",1/11/24,Adult,2024
"Avon Park, FL",1/11/24,Adult,2024
"Midway, FL",1/11/24,Adult,2024
"Indian Lake Estates, FL",1/10/24,Adult,2024
"Palm Bay, FL",1/10/24,Adult,2024
"Longwood, FL",1/10/24,Adult,2024
"Largo, FL",1/10/24,Adult,2024
"Melbourne, FL",1/10/24,Adult,2024
"Punta Gorda, FL",1/10/24,Adult,2024
"Summerfield, FL",1/10/24,Adult,2024
"Weston, FL",1/10/24,Adult,2024
"West Palm Bech, FL",1/9/24,Adult,2024
"Wellington, FL",1/9/24,Adult,2024
"Punta Gorda, FL",1/9/24,Adult,2024
"Saint Cloud, FL",1/9/24,Adult,2024
"Lantana, FL",1/9/24,Adult,2024
"Kissimmee, FL",1/9/24,Adult,2024
"Lithia, FL",1/9/24,Adult,2024
"TITUSVILLE, FL",1/8/24,Adult,2024
"Sarasota,, FL",1/8/24,Adult,2024
"Lakeland, FL",1/7/24,Adult,2024
"lake Buena Vista, FL",1/7/24,Adult,2024
"Clearwater, FL",1/7/24,Adult,2024
"Homestead, FL",1/7/24,Adult,2024
"Cape Coral, FL",1/6/24,Adult,2024
"Plant City, FL",1/6/24,Adult,2024
"Cocoa, FL",1/5/24,Adult,2024
"Venice, FL",12/30/23,Adult,2024
"Grant, FL",12/30/23,Adult,2024
"St. Cloud, FL",12/28/23,Adult,2024
"Melbourne, FL",12/28/23,Adult,2024
"Palm City, FL",12/27/23,Adult,2024
"Melbourne, FL",12/27/23,Adult,2024
"Port Charlotte, FL",5/13/24,Subadult,2024
"Pinellas Park, FL",4/5/24,Subadult,2024
"Fernandina Beach, FL",4/1/24,Subadult,2024
"Lakeland, FL",3/23/24,Subadult,2024
"Melbourne, FL",3/17/24,Subadult,2024
"Clermont, FL",3/5/24,Subadult,2024
"Wellington, FL",2/26/24,Subadult,2024
"Wellington, FL",2/23/24,Subadult,2024
"TITUSVILLE, FL",2/21/24,Subadult,2024
"Punta Gorda, FL",2/15/24,Subadult,2024
"Venice, FL",2/14/24,Subadult,2024
"Destin, FL",3/26/23,Adult,2023
"Fernandina Beach, FL",3/22/23,Adult,2023
"Shalimar, FL",2/27/23,Adult,2023
"Milton, FL",2/24/23,Adult,2023
"Pinecrest, FL",2/22/23,Adult,2023
"Navarre, FL",2/21/23,Adult,2023
"Niceville, FL",2/19/23,Adult,2023
"Navarre, FL",2/19/23,Adult,2023
"Fernandina Beach, FL",2/16/23,Adult,2023
"Pensacola, FL",2/16/23,Adult,2023
"Mary Esther, FL",2/15/23,Adult,2023
"Clarksville, FL",2/13/23,Adult,2023
"Vero Beach, FL",2/11/23,Adult,2023
"Miami, FL",2/10/23,Adult,2023
"Pensacola, FL",2/9/23,Adult,2023
"DeFuniak Springs, FL",2/8/23,Adult,2023
"Chipley, FL",2/8/23,Adult,2023
"Panama City, FL",2/7/23,Adult,2023
"Gardens, FL",2/7/23,Adult,2023
"Baker, FL",2/7/23,Adult,2023
"Molino, FL",2/6/23,Adult,2023
"Midway, FL",2/6/23,Adult,2023
"Bonifay, FL",2/5/23,Adult,2023
"Holt, FL",2/5/23,Adult,2023
"Crystal River, FL",2/4/23,Adult,2023
"Tallahassee, FL",2/3/23,Adult,2023
"Gainesville, FL",2/2/23,Adult,2023
"Sun City Center, FL",2/2/23,Adult,2023
"Holiday, FL",2/2/23,Adult,2023
"Ocala, FL",2/2/23,Adult,2023
"Live Oak, FL",2/2/23,Adult,2023
"Carrabelle, FL",2/2/23,Adult,2023
"St Petersburg, FL",2/1/23,Adult,2023
"Morriston, FL",2/1/23,Adult,2023
"Homestead, FL",2/1/23,Adult,2023
"Cantomment, FL",2/1/23,Adult,2023
"Monticello, FL",2/1/23,Adult,2023
"Grand Ridge, FL",1/31/23,Adult,2023
"Lady Lake, FL",1/30/23,Adult,2023
"Chipley, FL",1/30/23,Adult,2023
"Pompano Beach, FL",1/30/23,Adult,2023
"Chipley, FL",1/30/23,Adult,2023
"Pinellas Park, FL",1/30/23,Adult,2023
"Naples, FL",1/30/23,Adult,2023
"Alachua, FL",1/29/23,Adult,2023
"Alachua, FL",1/29/23,Adult,2023
"Pompano Beach, FL",1/29/23,Adult,2023
"Merritt Island, FL",1/29/23,Adult,2023
"Auburndale, FL",1/28/23,Adult,2023
"Avon Park, FL",1/28/23,Adult,2023
"Port Saint Lucie, FL",1/27/23,Adult,2023
"Coconut Creek, FL",1/26/23,Adult,2023
"Ormond Beach, FL",1/26/23,Adult,2023
"Orlando, FL",1/26/23,Adult,2023
"Pompano Beach, FL",1/25/23,Adult,2023
