CITY,DATE,AGE,YEAR
"Columbia, LA",4/12/24,Adult,2024
"Bourg, LA",3/24/24,Adult,2024
"Opelousas, LA",3/21/24,Adult,2024
"Cecilia, LA",3/19/24,Adult,2024
"St.Martinville, LA",3/8/24,Adult,2024
"New Iberia, LA",3/6/24,Adult,2024
"Bossier City, LA",2/29/24,Adult,2024
"Metairie, LA",2/28/24,Adult,2024
"Port Fourchon, LA",2/27/24,Adult,2024
"Natchitoches, LA",2/26/24,Adult,2024
"Robeline, LA",2/24/24,Adult,2024
"Denham Springs, LA",2/24/24,Adult,2024
"Denham Springs, LA",2/24/24,Adult,2024
"Bossier City, LA",2/23/24,Adult,2024
"Grand Isle, LA",2/23/24,Adult,2024
"Delhi, LA",2/23/24,Adult,2024
"Sulphur, LA",2/23/24,Adult,2024
"Slidell, LA",2/22/24,Adult,2024
"Maringouin, LA",2/22/24,Adult,2024
"Franklinton, LA",2/22/24,Adult,2024
"Lutcher, LA",2/21/24,Adult,2024
"Mandeville, LA",2/21/24,Adult,2024
"Pecan Island, LA",2/21/24,Adult,2024
"ST FRANCISVILLE, LA",2/20/24,Adult,2024
"Reserve, LA",2/19/24,Adult,2024
"Thibodaux, LA",2/19/24,Adult,2024
"Marrero, LA",2/19/24,Adult,2024
"Bell City, LA",2/19/24,Adult,2024
"Thibodaux, LA",2/18/24,Adult,2024
"Jeanerette, LA",2/18/24,Adult,2024
"Slidell, LA",2/16/24,Adult,2024
"Baton Rouge, LA",2/16/24,Adult,2024
"Bossier City, LA",2/16/24,Adult,2024
"Homer, LA",2/15/24,Adult,2024
"Natchitoches, LA",2/15/24,Adult,2024
"Baton Rouge, LA",2/15/24,Adult,2024
"Monroe, LA",2/14/24,Adult,2024
"Sterlington, LA",2/14/24,Adult,2024
"Rayville, LA",2/14/24,Adult,2024
"Pioneer, LA",2/14/24,Adult,2024
"Lake Charles, LA",2/14/24,Adult,2024
"Breaux Bridge, LA",2/13/24,Adult,2024
"Ruston, LA",2/13/24,Adult,2024
"West Monroe, LA",2/13/24,Adult,2024
"Paulina, LA",2/12/24,Adult,2024
"Jennings, LA",2/12/24,Adult,2024
"Sulphur, LA",2/11/24,Adult,2024
"St. Gabriel, LA",2/10/24,Adult,2024
"Ruston, LA",2/10/24,Adult,2024
"Homer, LA",2/10/24,Adult,2024
"Monroe, LA",2/10/24,Adult,2024
"Bossier City, LA",2/10/24,Adult,2024
"Luling, LA",2/9/24,Adult,2024
"Angie, LA",2/9/24,Adult,2024
"THIBODAUX, LA",2/9/24,Adult,2024
"Thibodaux, LA",2/9/24,Adult,2024
"Slidell, LA",2/9/24,Adult,2024
"Madison, LA",2/9/24,Adult,2024
"Bayou Gauche, LA",2/9/24,Adult,2024
"ZACHARY, LA",2/9/24,Adult,2024
"Plaquemine, LA",2/9/24,Adult,2024
"Baton Rouge, LA",2/9/24,Adult,2024
"Logansport, LA",2/9/24,Adult,2024
"Vacherie, LA",2/9/24,Adult,2024
"Jonesville, LA",2/9/24,Adult,2024
"Franklin, LA",2/9/24,Adult,2024
"Bush, LA",2/9/24,Adult,2024
"Denham Springs, LA",2/9/24,Adult,2024
"Harvey, LA",2/9/24,Adult,2024
"Alexandria, LA",2/9/24,Adult,2024
"Gilliam, LA",2/8/24,Adult,2024
"St martinville, LA",2/8/24,Adult,2024
"Alexandria, LA",2/8/24,Adult,2024
"Dubberly, LA",2/8/24,Adult,2024
"COUSHATTA, LA",2/8/24,Adult,2024
"Covington, LA",2/8/24,Adult,2024
"New Orleans, LA",2/8/24,Adult,2024
"Hahnville, LA",2/7/24,Adult,2024
"Lockport, LA",2/6/24,Adult,2024
"crowley, LA",2/6/24,Adult,2024
"Litroe, LA",2/6/24,Adult,2024
"Choupic, LA",2/6/24,Adult,2024
"Slidell, LA",2/6/24,Adult,2024
"Shreveport, LA",2/5/24,Adult,2024
"Anacoco, LA",2/5/24,Adult,2024
"Patterson, LA",2/5/24,Adult,2024
"Prairieville, LA",2/4/24,Adult,2024
"Lafayette, LA",2/4/24,Adult,2024
"Houma, LA",2/3/24,Adult,2024
"Kaplan, LA",2/3/24,Adult,2024
"Baton Rouge, LA",2/2/24,Adult,2024
"Broussard, LA",2/2/24,Adult,2024
"Saint Amant, LA",2/2/24,Adult,2024
"HOUMA, LA",2/2/24,Adult,2024
"Lake Charles, LA",2/2/24,Adult,2024
"Gonzales, LA",2/2/24,Adult,2024
"BATON ROUGE, LA",2/2/24,Adult,2024
"Port Sulphur, LA",2/2/24,Adult,2024
"Laplace, LA",2/2/24,Adult,2024
"Houma, LA",2/2/24,Adult,2024
"Paulina, LA",2/2/24,Adult,2024
"houma, LA",2/2/24,Adult,2024
"Zachary, LA",2/2/24,Adult,2024
"Bayou Blue, LA",2/2/24,Adult,2024
"Prairieville, LA",2/2/24,Adult,2024
"Lake Charles, LA",2/2/24,Adult,2024
"Opelousas, LA",2/2/24,Adult,2024
"Lafayette, LA",2/1/24,Adult,2024
"Baton Rouge, LA",2/1/24,Adult,2024
"THIBODAUX, LA",2/1/24,Adult,2024
"Plain Dealing, LA",2/1/24,Adult,2024
"La Place, LA",2/1/24,Adult,2024
"Gonzales, LA",2/1/24,Adult,2024
"Houma, LA",2/1/24,Adult,2024
"Effie, LA",2/1/24,Adult,2024
"Raceland, LA",2/1/24,Adult,2024
"Rayne, LA",2/1/24,Adult,2024
"Schriever, LA",2/1/24,Adult,2024
"Walker, LA",2/1/24,Adult,2024
"Pierre Part, LA",1/31/24,Adult,2024
"Hathaway, LA",1/31/24,Adult,2024
"Washington, LA",1/31/24,Adult,2024
"Port Barre, LA",1/31/24,Adult,2024
"Hammond, LA",1/30/24,Adult,2024
"Bunkie, LA",1/30/24,Adult,2024
"Gonzales, LA",1/30/24,Adult,2024
"Bentley, LA",1/30/24,Adult,2024
"Montz, LA",1/29/24,Adult,2024
"Thibodaux, LA",1/29/24,Adult,2024
"Cut Off, LA",1/28/24,Adult,2024
"Greenwell Springs, LA",1/28/24,Adult,2024
"Logansport, LA",1/27/24,Adult,2024
"Leroy, LA",1/27/24,Adult,2024
"Paulina, LA",1/27/24,Adult,2024
"Mansura, LA",1/26/24,Adult,2024
"Maurice, LA",1/26/24,Adult,2024
"Maurice, LA",1/26/24,Adult,2024
"Denham Springs, LA",1/25/24,Adult,2024
"Lake Charles, LA",1/25/24,Adult,2024
"Youngsville, LA",1/25/24,Adult,2024
"Geismar, LA",1/24/24,Adult,2024
"New Iberia, LA",1/23/24,Adult,2024
"Branch, LA",1/16/24,Adult,2024
"GROSSE TETE, LA",1/13/24,Adult,2024
"Denham Springs, LA",1/11/24,Adult,2024
