CITY,DATE,AGE,YEAR
"Pickens, MS",3/11/24,Adult,2024
"Oxford, MS",3/6/24,Adult,2024
"Batesville, MS",3/5/24,Adult,2024
"Tishomingo, MS",3/4/24,Adult,2024
"Byram, MS",3/2/24,Adult,2024
"Moss Point, MS",3/1/24,Adult,2024
"Goodman, MS",2/28/24,Adult,2024
"Brookhaven, MS",2/28/24,Adult,2024
"Union Church, MS",2/26/24,Adult,2024
"Byhalia, MS",2/26/24,Adult,2024
"Saucier, MS",2/25/24,Adult,2024
"Biloxi, MS",2/23/24,Adult,2024
"Bay Springs, MS",2/23/24,Adult,2024
"Columbus, MS",2/23/24,Adult,2024
"Hazlehurst, MS",2/22/24,Adult,2024
"Booneville, MS",2/21/24,Adult,2024
"Jackson, MS",2/21/24,Adult,2024
"Brandon, MS",2/20/24,Adult,2024
"Mantachie, MS",2/20/24,Adult,2024
"Raleigh, MS",2/20/24,Adult,2024
"Clinton, MS",2/19/24,Adult,2024
"Bay Saint Louis, MS",2/19/24,Adult,2024
"Brandon, MS",2/17/24,Adult,2024
"Bay St Louis, MS",2/17/24,Adult,2024
"Ellisville, MS",2/16/24,Adult,2024
"Flora, MS",2/15/24,Adult,2024
"Natchez, MS",2/15/24,Adult,2024
"Richland, MS",2/15/24,Adult,2024
"Cleveland, MS",2/14/24,Adult,2024
"Hamilton, MS",2/14/24,Adult,2024
"Leland, MS",2/12/24,Adult,2024
"Quitman, MS",2/12/24,Adult,2024
"Gautier, MS",2/10/24,Adult,2024
"Hermanville, MS",2/10/24,Adult,2024
"Hattiesburg, MS",2/9/24,Adult,2024
"Ocean Springs, MS",2/9/24,Adult,2024
"Foxworth, MS",2/9/24,Adult,2024
"Tupelo, MS",2/9/24,Adult,2024
"Carriere, MS",2/9/24,Adult,2024
"Seminary, MS",2/9/24,Adult,2024
"Lexington, MS",2/9/24,Adult,2024
"Macon, MS",2/8/24,Adult,2024
"Isola, MS",2/8/24,Adult,2024
"Canton, MS",2/6/24,Adult,2024
"Purvis, MS",2/6/24,Adult,2024
