CITY,DATE,AGE,YEAR
"Billings, OK",3/30/24,Adult,2024
"Perkins, OK",3/20/24,Adult,2024
"Eucha, OK",3/17/24,Adult,2024
"Okemah, OK",3/12/24,Adult,2024
"Bartlesville, OK",3/11/24,Adult,2024
"Muskogee, OK",3/11/24,Adult,2024
"Stillwater, OK",3/11/24,Adult,2024
"Harrah, OK",3/11/24,Adult,2024
"Bartlesville, OK",3/10/24,Adult,2024
"Sulphur, OK",3/10/24,Adult,2024
"Grove, OK",3/9/24,Adult,2024
"Yukon, OK",3/7/24,Adult,2024
"Burbank, OK",3/7/24,Adult,2024
"Owasso, OK",3/6/24,Adult,2024
"Watson, OK",3/6/24,Adult,2024
"Jones, OK",3/5/24,Adult,2024
"Oklahoma City, OK",3/5/24,Adult,2024
"Oklahoma City, OK",3/5/24,Adult,2024
"Yukon, OK",3/4/24,Adult,2024
"Norman, OK",3/4/24,Adult,2024
"Waukomis, OK",3/4/24,Adult,2024
"Norman, OK",3/4/24,Adult,2024
"Davis, OK",3/3/24,Adult,2024
"Sand Springs, OK",3/3/24,Adult,2024
"Tulsa, OK",3/3/24,Adult,2024
"Stillwater, OK",3/2/24,Adult,2024
"Gore, OK",3/2/24,Adult,2024
"Choctaw, OK",3/2/24,Adult,2024
"Tulsa, OK",3/2/24,Adult,2024
"Ponca City, OK",3/2/24,Adult,2024
"Pryor Creek, OK",3/2/24,Adult,2024
"Oklahoma City, OK",3/2/24,Adult,2024
"Oologah, OK",3/1/24,Adult,2024
"Bartlesville, OK",3/1/24,Adult,2024
"Jones, OK",3/1/24,Adult,2024
"ENID, OK",3/1/24,Adult,2024
"Mustang, OK",2/28/24,Adult,2024
"Minco, OK",2/27/24,Adult,2024
"elk city, OK",2/26/24,Adult,2024
"Okarche, OK",2/26/24,Adult,2024
"Guthrie, OK",2/26/24,Adult,2024
"Bartlesville, OK",2/26/24,Adult,2024
"Keystone Lake, OK",2/25/24,Adult,2024
"Oklahoma City, OK",2/25/24,Adult,2024
"Blanchard, OK",2/24/24,Adult,2024
"Lindsay, OK",2/24/24,Adult,2024
"Fairland, OK",2/24/24,Adult,2024
"Sperry, OK",2/23/24,Adult,2024
"Glenpool, OK",2/22/24,Adult,2024
"Grove, OK",2/20/24,Adult,2024
"Claremore, OK",2/20/24,Adult,2024
"shawnee, OK",2/20/24,Adult,2024
"McAlester, OK",2/20/24,Adult,2024
"Marietta, OK",2/20/24,Adult,2024
"Durant, OK",2/20/24,Adult,2024
"Edmond, OK",2/19/24,Adult,2024
"Lawton, OK",2/19/24,Adult,2024
"Broken Bow, OK",2/18/24,Adult,2024
"Marlow, OK",2/17/24,Adult,2024
"Lexington, OK",2/16/24,Adult,2024
"Comanche, OK",2/16/24,Adult,2024
"Marietta, OK",2/16/24,Adult,2024
"Panama, OK",2/16/24,Adult,2024
"Piedmont, OK",2/12/24,Adult,2024
"Ardmore, OK",2/9/24,Adult,2024
"Purcell, OK",2/8/24,Adult,2024
", OK",5/10/24,Subadult,2024
"Lexington, OK",4/6/24,Subadult,2024
"Stillwater, OK",4/5/24,Subadult,2024
"Keystone Lake, OK",3/28/24,Subadult,2024
"Owasso, OK",4/15/23,Adult,2023
"Billings, OK",4/3/23,Adult,2023
"Eucha, OK",3/31/23,Adult,2023
"NORMAN, OK",3/29/23,Adult,2023
"BARTLESVILLE, OK",3/29/23,Adult,2023
"UNION CITY, OK",3/25/23,Adult,2023
"OKEMAH, OK",3/24/23,Adult,2023
"Mounds, OK",3/22/23,Adult,2023
"HULBERT, OK",3/22/23,Adult,2023
"Arcadia, OK",3/22/23,Adult,2023
"Tulsa, OK",3/20/23,Adult,2023
"Tulsa, OK",3/19/23,Adult,2023
"POND CREEK, OK",3/18/23,Adult,2023
"Sand Springs, OK",3/17/23,Adult,2023
"Oologah, OK",3/16/23,Adult,2023
"Mounds, OK",3/14/23,Adult,2023
"Ardmore, OK",3/13/23,Adult,2023
"Owasso, OK",3/12/23,Adult,2023
"Bartlesville, OK",3/12/23,Adult,2023
"Yukon, OK",3/12/23,Adult,2023
"Choctaw, OK",3/11/23,Adult,2023
"Enid, OK",3/11/23,Adult,2023
"Harrah, OK",3/11/23,Adult,2023
"Norman, OK",3/10/23,Adult,2023
"Enid, OK",3/10/23,Adult,2023
"Davis, OK",3/10/23,Adult,2023
"Davis, OK",3/10/23,Adult,2023
"Yukon, OK",3/10/23,Adult,2023
"Gore, OK",3/9/23,Adult,2023
"Paoli, OK",3/8/23,Adult,2023
"Moore, OK",3/8/23,Adult,2023
"Moore, OK",3/8/23,Adult,2023
"Keystone Lake, OK",3/7/23,Adult,2023
"Grove, OK",3/7/23,Adult,2023
"Norman, OK",3/7/23,Adult,2023
"Yukon, OK",3/6/23,Adult,2023
"Bartlesville, OK",3/6/23,Adult,2023
"Chickasha, OK",3/6/23,Adult,2023
"springer, OK",3/6/23,Adult,2023
"Blanchard, OK",3/5/23,Adult,2023
"Sperry, OK",3/5/23,Adult,2023
"Claremore, OK",3/5/23,Adult,2023
"Enid, OK",3/5/23,Adult,2023
"Tuttle, OK",3/5/23,Adult,2023
"Guthrie, OK",3/5/23,Adult,2023
"Lawton, OK",3/5/23,Adult,2023
"Owasso, OK",3/5/23,Adult,2023
"Oologah, OK",3/5/23,Adult,2023
"Choctaw, OK",3/4/23,Adult,2023
"Piedmont, OK",3/4/23,Adult,2023
"Edmond, OK",3/4/23,Adult,2023
"Okarche, OK",3/4/23,Adult,2023
"Dewey, OK",3/4/23,Adult,2023
"Norman, OK",3/4/23,Adult,2023
"Chickasha, OK",3/4/23,Adult,2023
"Glenpool, OK",3/3/23,Adult,2023
"Stillwater, OK",3/3/23,Adult,2023
"Lawton, OK",3/3/23,Adult,2023
"Benninton, OK",3/3/23,Adult,2023
"Delaware, OK",3/3/23,Adult,2023
"Oklahoma City, OK",3/1/23,Adult,2023
"Minco, OK",2/28/23,Adult,2023
"Elk City, OK",2/28/23,Adult,2023
"Wister, OK",2/28/23,Adult,2023
"Oklahoma City, OK",2/28/23,Adult,2023
"OKLAHOMA CITY, OK",2/28/23,Adult,2023
"Marietta, OK",2/28/23,Adult,2023
"Durant, OK",2/27/23,Adult,2023
"Jones, OK",2/27/23,Adult,2023
"Norman, OK",2/27/23,Adult,2023
"Fairland, OK",2/25/23,Adult,2023
"McAlester, OK",2/24/23,Adult,2023
"Ardmore, OK",2/24/23,Adult,2023
"Comanche, OK",2/23/23,Adult,2023
"Bokoshe, OK",2/23/23,Adult,2023
"Lexington, OK",2/22/23,Adult,2023
"Mustang, OK",2/22/23,Adult,2023
"Marlow, OK",2/21/23,Adult,2023
"Broken Bow, OK",2/18/23,Adult,2023
"Grove, OK",2/15/23,Adult,2023
"Yukon, OK",5/12/23,Subadult,2023
"Choctaw, OK",5/12/23,Subadult,2023
"Lexington, OK",4/23/23,Subadult,2023
"Keystone Lake, OK",4/18/23,Subadult,2023
"Stillwater, OK",4/8/23,Subadult,2023
"Newcastle, OK",4/19/22,Adult,2022
