CITY,DATE,AGE,YEAR
"Daniel Island, SC",3/28/24,Adult,2024
"Latta, SC",3/27/24,Adult,2024
"Summerville, SC",3/21/24,Adult,2024
"Donalds, SC",3/20/24,Adult,2024
"Wedgefield, SC",3/15/24,Adult,2024
"Charleston, SC",3/14/24,Adult,2024
"Seneca, SC",3/13/24,Adult,2024
"Wellford, SC",3/12/24,Adult,2024
"Chesnee, SC",3/12/24,Adult,2024
"Fork, SC",3/12/24,Adult,2024
"York, SC",3/10/24,Adult,2024
"Loris, SC",3/10/24,Adult,2024
"Roebuck, SC",3/10/24,Adult,2024
"Lancaster, SC",3/8/24,Adult,2024
"SUMTER, SC",3/6/24,Adult,2024
"AWENDAW, SC",3/5/24,Adult,2024
"Bradley, SC",3/4/24,Adult,2024
"Saluda, SC",3/4/24,Adult,2024
"WOODRUFF, SC",3/4/24,Adult,2024
"James Island, SC",3/2/24,Adult,2024
"Lake Wateree, SC",3/2/24,Adult,2024
"Chapin, SC",3/2/24,Adult,2024
"Awendaw, SC",3/2/24,Adult,2024
"Cassatt, SC",3/2/24,Adult,2024
"Hemingway, SC",3/2/24,Adult,2024
"Neeses, SC",3/1/24,Adult,2024
"Mt. Pleasant, SC",2/29/24,Adult,2024
"Easley, SC",2/28/24,Adult,2024
"Pageland, SC",2/26/24,Adult,2024
"Mountville, SC",2/26/24,Adult,2024
"Mount Pleasant, SC",2/26/24,Adult,2024
"Saluda, SC",2/26/24,Adult,2024
"Inman, SC",2/25/24,Adult,2024
"Inman, SC",2/25/24,Adult,2024
"Lexington, SC",2/25/24,Adult,2024
"Smyrna, SC",2/25/24,Adult,2024
"Heath Springs, SC",2/24/24,Adult,2024
"Windsor, SC",2/24/24,Adult,2024
"Bennettsville, SC",2/24/24,Adult,2024
"Wadmalaw Island, SC",2/24/24,Adult,2024
"Swansea, SC",2/24/24,Adult,2024
"Folly Beach, SC",2/23/24,Adult,2024
"Little River, SC",2/23/24,Adult,2024
"Columbia, SC",2/23/24,Adult,2024
"ISLE OF PALMS, SC",2/23/24,Adult,2024
"Greenwood, SC",2/23/24,Adult,2024
"Littlebit, SC",2/22/24,Adult,2024
"trenton, SC",2/21/24,Adult,2024
"Tillman, SC",2/21/24,Adult,2024
"Conway, SC",2/20/24,Adult,2024
"Hampton, SC",2/20/24,Adult,2024
"Greenville, SC",2/20/24,Adult,2024
"Inman, SC",2/19/24,Adult,2024
"West Union, SC",2/19/24,Adult,2024
"Greenwood, SC",2/17/24,Adult,2024
"North Augusta, SC",2/17/24,Adult,2024
"Mc Clellanville, SC",2/16/24,Adult,2024
"Johns Island, SC",2/16/24,Adult,2024
"Pomaria, SC",2/16/24,Adult,2024
"Bonneau, SC",2/16/24,Adult,2024
"Manning, SC",2/15/24,Adult,2024
"Latta, SC",2/15/24,Adult,2024
"Beaufort, SC",2/15/24,Adult,2024
"North Augusta, SC",2/14/24,Adult,2024
"BARNWELL, SC",2/14/24,Adult,2024
"Galivants ferry, SC",2/12/24,Adult,2024
"prosperity, SC",2/11/24,Adult,2024
"Hemingway, SC",2/11/24,Adult,2024
"New Ellenton, SC",2/11/24,Adult,2024
"Varnville, SC",2/11/24,Adult,2024
"Eastover, SC",2/10/24,Adult,2024
"Sumter, SC",2/10/24,Adult,2024
"Timmonsville, SC",2/8/24,Adult,2024
"Pamplico, SC",2/8/24,Adult,2024
"NorthAugusta, SC",2/8/24,Adult,2024
"Gilbert, SC",2/2/24,Adult,2024
"Hanahan, SC",1/31/24,Adult,2024
"Isle of Palms, SC",5/23/24,Subadult,2024
"Conway, SC",4/18/24,Subadult,2024
"Sumter, SC",4/17/24,Subadult,2024
"Sumter, SC",4/16/24,Subadult,2024
"Daniel Island, SC",4/14/24,Subadult,2024
"Columbia, SC",4/13/24,Subadult,2024
"Cassatt, SC",4/8/24,Subadult,2024
"Cassatt, SC",4/7/23,Adult,2023
"Hilton Head, SC",4/2/23,Adult,2023
"McColl, SC",3/30/23,Adult,2023
"RIDGEWAY, SC",3/26/23,Adult,2023
"Okatie, SC",3/24/23,Adult,2023
"Donalds, SC",3/23/23,Adult,2023
"Fort Mill, SC",3/21/23,Adult,2023
"Charleston, SC",3/12/23,Adult,2023
"Easley, SC",3/11/23,Adult,2023
"wedgefield, SC",3/11/23,Adult,2023
"Wellford, SC",3/9/23,Adult,2023
"Myrtle Beach, SC",3/7/23,Adult,2023
"Fork, SC",3/7/23,Adult,2023
"St Matthews, SC",3/5/23,Adult,2023
"Lexington, SC",3/4/23,Adult,2023
"Bradley, SC",3/3/23,Adult,2023
"Lancaster, SC",3/3/23,Adult,2023
"James Island, SC",3/1/23,Adult,2023
"Smyrna, SC",3/1/23,Adult,2023
"Greenwood, SC",3/1/23,Adult,2023
"Summerville, SC",3/1/23,Adult,2023
"McCormick, SC",2/26/23,Adult,2023
"POMARIA, SC",2/26/23,Adult,2023
"DORCHESTER, SC",2/26/23,Adult,2023
"Wadmalaw Island, SC",2/25/23,Adult,2023
"Jefferson, SC",2/24/23,Adult,2023
"Rock hill, SC",2/24/23,Adult,2023
"Mountville, SC",2/23/23,Adult,2023
"Greenville, SC",2/23/23,Adult,2023
"Awendaw, SC",2/23/23,Adult,2023
"Pomaria, SC",2/23/23,Adult,2023
"Loris, SC",2/23/23,Adult,2023
"Chester, SC",2/23/23,Adult,2023
"Ridgeland, SC",2/22/23,Adult,2023
"Ridgeway, SC",2/22/23,Adult,2023
"CHESTERFIELD, SC",2/22/23,Adult,2023
"Isle of Palms, SC",2/22/23,Adult,2023
"Pageland, SC",2/22/23,Adult,2023
"Inman, SC",2/22/23,Adult,2023
"Inman, SC",2/22/23,Adult,2023
"Windsor, SC",2/21/23,Adult,2023
"Loris, SC",2/21/23,Adult,2023
"Chapin, SC",2/20/23,Adult,2023
"Heath Springs, SC",2/20/23,Adult,2023
"Okatie, SC",2/20/23,Adult,2023
"Latta, SC",2/20/23,Adult,2023
"Mt. Pleasant, SC",2/19/23,Adult,2023
"Columbia, SC",2/19/23,Adult,2023
