CITY,DATE,AGE,YEAR
"San Angelo, TX",4/23/24,Adult,2024
"COMFORT, TX",4/8/24,Adult,2024
"Rockett Texas, TX",4/7/24,Adult,2024
"Seymour, TX",3/31/24,Adult,2024
"Weimar, TX",3/30/24,Adult,2024
"Abilene, TX",3/28/24,Adult,2024
"Richmond, TX",3/26/24,Adult,2024
"Longview, TX",3/22/24,Adult,2024
"Athens, TX",3/20/24,Adult,2024
"allen, TX",3/20/24,Adult,2024
"Rochelle, TX",3/19/24,Adult,2024
"Springtown, TX",3/19/24,Adult,2024
"dallas, TX",3/17/24,Adult,2024
"Prosper, TX",3/16/24,Adult,2024
"Wimberley, TX",3/16/24,Adult,2024
"Sugar Land, TX",3/15/24,Adult,2024
"Ft Worth, TX",3/15/24,Adult,2024
"Canyon, TX",3/14/24,Adult,2024
"Atlanta, TX",3/14/24,Adult,2024
"Boerne, TX",3/14/24,Adult,2024
"College Station, TX",3/13/24,Adult,2024
"Austin, TX",3/13/24,Adult,2024
"Odessa, TX",3/13/24,Adult,2024
"Odessa, TX",3/13/24,Adult,2024
"Houston, TX",3/13/24,Adult,2024
"GILMER, TX",3/13/24,Adult,2024
"Borger, TX",3/12/24,Adult,2024
"Lewisville, TX",3/11/24,Adult,2024
"Taylor, TX",3/10/24,Adult,2024
"Sunset, TX",3/10/24,Adult,2024
"Bandera, TX",3/9/24,Adult,2024
"Jarrell, TX",3/9/24,Adult,2024
"Rockwalll, TX",3/9/24,Adult,2024
"Goliad, TX",3/8/24,Adult,2024
"Wylie, TX",3/7/24,Adult,2024
"Kerrville, TX",3/6/24,Adult,2024
"Double Oak, TX",3/6/24,Adult,2024
"Harlingen, TX",3/6/24,Adult,2024
"Abilene, TX",3/6/24,Adult,2024
"Cisco, TX",3/6/24,Adult,2024
"Lubbock, TX",3/6/24,Adult,2024
"San Benito, TX",3/5/24,Adult,2024
"Beaumont, TX",3/4/24,Adult,2024
"Rowlett, TX",3/4/24,Adult,2024
"Spring Branch, TX",3/3/24,Adult,2024
"Shallowater, TX",3/3/24,Adult,2024
"Los Fresnos, TX",3/3/24,Adult,2024
"Georgetown, TX",3/3/24,Adult,2024
"Kingsland, TX",3/3/24,Adult,2024
"Edinburg, TX",3/3/24,Adult,2024
"Allen, TX",3/2/24,Adult,2024
"Rowlett, TX",3/2/24,Adult,2024
"Corpus Christi, TX",3/2/24,Adult,2024
"Manor, TX",3/2/24,Adult,2024
"PLAINVIEW, TX",3/2/24,Adult,2024
"PLAINVIEW, TX",3/2/24,Adult,2024
"Laguna Vista, TX",3/2/24,Adult,2024
"Irving, TX",3/2/24,Adult,2024
"Mckinney, TX",3/2/24,Adult,2024
"Rowlett, TX",3/2/24,Adult,2024
"Muenster, TX",3/2/24,Adult,2024
"Copperas Cove, TX",3/1/24,Adult,2024
"Brownsville, TX",3/1/24,Adult,2024
"Brownsville, TX",3/1/24,Adult,2024
"Plano, TX",3/1/24,Adult,2024
"Laredo , TX",3/1/24,Adult,2024
"Laredo , TX",3/1/24,Adult,2024
"Slaton, TX",2/29/24,Adult,2024
"Big Spring, TX",2/29/24,Adult,2024
"Universal City, TX",2/27/24,Adult,2024
"Haskell, TX",2/27/24,Adult,2024
"Corsicana, TX",2/27/24,Adult,2024
"Cedar Park, TX",2/27/24,Adult,2024
"Taylor Lake Village, TX",2/27/24,Adult,2024
"Round Rock, TX",2/27/24,Adult,2024
"Lumberton, TX",2/27/24,Adult,2024
"Lake Dallas, TX",2/26/24,Adult,2024
"Austin, TX",2/26/24,Adult,2024
"Mission, TX",2/26/24,Adult,2024
"Georgetown, TX",2/25/24,Adult,2024
"Luella, TX",2/25/24,Adult,2024
"Granbury, TX",2/25/24,Adult,2024
"Caddo Mills, TX",2/25/24,Adult,2024
"Copperas Cove, TX",2/25/24,Adult,2024
"Port Bolivar, TX",2/25/24,Adult,2024
"Port Bolivar, TX",2/25/24,Adult,2024
"Pearland, TX",2/25/24,Adult,2024
"Snook, TX",2/25/24,Adult,2024
"Corpus Christi, TX",2/24/24,Adult,2024
"Kerrville, TX",2/24/24,Adult,2024
"Rowlett, TX",2/24/24,Adult,2024
"HOUSTON, TX",2/24/24,Adult,2024
"Robinson, TX",2/24/24,Adult,2024
"Galveston, TX",2/24/24,Adult,2024
"League City, TX",2/24/24,Adult,2024
"Beaumont, TX",2/24/24,Adult,2024
"Celina, TX",2/24/24,Adult,2024
"Kerrville, TX",2/24/24,Adult,2024
"Austin, TX",2/24/24,Adult,2024
"Springtown, TX",2/24/24,Adult,2024
"Frisco, TX",2/24/24,Adult,2024
"Frisco, TX",2/24/24,Adult,2024
"Montgomery, TX",2/23/24,Adult,2024
"Montgomery, TX",2/23/24,Adult,2024
"Austin, TX",2/23/24,Adult,2024
"Bloomberg ,TX, TX",2/23/24,Adult,2024
"Port O'Connor, TX",2/23/24,Adult,2024
"Cibolo, TX",2/23/24,Adult,2024
"Spring, TX",2/23/24,Adult,2024
"Bertram, TX",2/23/24,Adult,2024
"Spring, TX",2/22/24,Adult,2024
"Arlington, TX",2/22/24,Adult,2024
"Georgetown, TX",2/22/24,Adult,2024
"Belton, TX",2/22/24,Adult,2024
"Dripping Springs, TX",2/22/24,Adult,2024
"New Braunfels, TX",2/22/24,Adult,2024
"Sanger, TX",2/22/24,Adult,2024
"Montgomery, TX",2/22/24,Adult,2024
"Austin, TX",2/22/24,Adult,2024
"Aubrey, TX",2/22/24,Adult,2024
"Possum Kingdom Lake, TX",2/22/24,Adult,2024
"Houston, TX",2/21/24,Adult,2024
"Goldthwaite, TX",2/21/24,Adult,2024
"Rising Star, TX",2/21/24,Adult,2024
"San Angelo, TX",2/21/24,Adult,2024
"McKinney, TX",2/21/24,Adult,2024
"Midland, TX",2/21/24,Adult,2024
"Canyon, TX",2/21/24,Adult,2024
"Marion, TX",2/21/24,Adult,2024
"Camp Wood, TX",2/21/24,Adult,2024
"Rosenberg, TX",2/21/24,Adult,2024
"Plano, TX",2/20/24,Adult,2024
"University Park, Texas, TX",2/20/24,Adult,2024
"Corp Christi, TX",2/20/24,Adult,2024
"Oak Point, TX",2/20/24,Adult,2024
"Georgetown, TX",2/20/24,Adult,2024
"May, TX",2/20/24,Adult,2024
"Tuscola, TX",2/20/24,Adult,2024
"Allen, TX",2/20/24,Adult,2024
"Lago Vista, TX",2/20/24,Adult,2024
"Mcallen, TX",2/20/24,Adult,2024
"Floydada, TX",2/20/24,Adult,2024
"BOWIE, TX",2/20/24,Adult,2024
"North Padre Island, Texas, TX",2/20/24,Adult,2024
"Austin, TX",2/20/24,Adult,2024
"Rowlett, TX",2/20/24,Adult,2024
"Johnson City, TX",2/20/24,Adult,2024
"Houston, TX",2/20/24,Adult,2024
"Prosper, TX",2/20/24,Adult,2024
"Beeville, TX",2/20/24,Adult,2024
