Year,Month,Mean,Anomaly,State
1996,1,22.2,-2.9,OK
1996,2,28,-1,OK
1996,3,31.4,-5.5,OK
1996,4,43.6,-3.4,OK
1996,5,61.5,5.1,OK
1996,6,65.4,0.1,OK
1996,7,69.5,0,OK
1996,8,67.7,-0.7,OK
1996,9,58.1,-2.5,OK
1996,10,48.4,-0.3,OK
1996,11,35.4,-0.9,OK
1996,12,28,0.2,OK
1997,1,25.2,0.1,OK
1997,2,32.8,3.8,OK
1997,3,38,1.1,OK
1997,4,42.6,-4.4,OK
1997,5,53.3,-3.1,OK
1997,6,62.9,-2.4,OK
1997,7,69.7,0.2,OK
1997,8,67,-1.4,OK
1997,9,62,1.4,OK
1997,10,49.9,1.2,OK
1997,11,35.2,-1.1,OK
1997,12,29.6,1.8,OK
1998,1,30.8,5.7,OK
1998,2,34.5,5.5,OK
1998,3,36.2,-0.7,OK
1998,4,44.1,-2.9,OK
1998,5,59.4,3,OK
1998,6,67.1,1.8,OK
1998,7,72.7,3.2,OK
1998,8,69.4,1,OK
1998,9,66.7,6.1,OK
1998,10,52.4,3.7,OK
1998,11,42.3,6,OK
1998,12,29.8,2,OK
1999,1,28.2,3.1,OK
1999,2,36.2,7.2,OK
1999,3,37.7,0.8,OK
1999,4,48.3,1.3,OK
1999,5,55.4,-1,OK
1999,6,65.2,-0.1,OK
1999,7,70.8,1.3,OK
1999,8,69.2,0.8,OK
1999,9,58.1,-2.5,OK
1999,10,47,-1.7,OK
1999,11,41.7,5.4,OK
1999,12,30.3,2.5,OK
2000,1,28.1,3,OK
2000,2,34.3,5.3,OK
2000,3,41.6,4.7,OK
2000,4,45.8,-1.2,OK
2000,5,58.3,1.9,OK
2000,6,64.2,-1.1,OK
2000,7,69.1,-0.4,OK
2000,8,70.9,2.5,OK
2000,9,59.6,-1,OK
2000,10,53.1,4.4,OK
2000,11,33.2,-3.1,OK
2000,12,21.4,-6.4,OK
2001,1,25.8,0.7,OK
2001,2,30.3,1.3,OK
2001,3,36.6,-0.3,OK
2001,4,51.2,4.2,OK
2001,5,57.2,0.8,OK
2001,6,64.7,-0.6,OK
2001,7,73.1,3.6,OK
2001,8,70.1,1.7,OK
2001,9,58.8,-1.8,OK
2001,10,46.6,-2.1,OK
2001,11,43.2,6.9,OK
2001,12,30.6,2.8,OK
2002,1,27.2,2.1,OK
2002,2,28.6,-0.4,OK
2002,3,33.2,-3.7,OK
2002,4,50.1,3.1,OK
2002,5,54.9,-1.5,OK
2002,6,66,0.7,OK
2002,7,69.6,0.1,OK
2002,8,69.4,1,OK
2002,9,61.1,0.5,OK
2002,10,47.5,-1.2,OK
2002,11,34.9,-1.4,OK
2002,12,30,2.2,OK
2003,1,25.2,0.1,OK
2003,2,27.5,-1.5,OK
2003,3,37,0.1,OK
2003,4,47.1,0.1,OK
2003,5,56.1,-0.3,OK
2003,6,62.2,-3.1,OK
2003,7,70.5,1,OK
2003,8,70,1.6,OK
2003,9,57.6,-3,OK
2003,10,49.5,0.8,OK
2003,11,39.8,3.5,OK
2003,12,30.1,2.3,OK
2004,1,27.5,2.4,OK
2004,2,28.2,-0.8,OK
2004,3,43.7,6.8,OK
2004,4,48.1,1.1,OK
2004,5,58.9,2.5,OK
2004,6,64.4,-0.9,OK
2004,7,67.2,-2.3,OK
2004,8,64.7,-3.7,OK
2004,9,60.3,-0.3,OK
2004,10,52.2,3.5,OK
2004,11,42,5.7,OK
2004,12,28.7,0.9,OK
2005,1,29.5,4.4,OK
2005,2,35,6,OK
2005,3,38.1,1.2,OK
2005,4,46.8,-0.2,OK
2005,5,56.1,-0.3,OK
2005,6,65.4,0.1,OK
2005,7,67.7,-1.8,OK
2005,8,69,0.6,OK
2005,9,63.3,2.7,OK
2005,10,49.6,0.9,OK
2005,11,38.1,1.8,OK
2005,12,25.3,-2.5,OK
2006,1,32.1,7,OK
2006,2,27.4,-1.6,OK
2006,3,41,4.1,OK
2006,4,51.7,4.7,OK
2006,5,58.1,1.7,OK
2006,6,64.6,-0.7,OK
2006,7,70.7,1.2,OK
2006,8,71.9,3.5,OK
2006,9,56,-4.6,OK
2006,10,47.7,-1,OK
2006,11,38.2,1.9,OK
2006,12,30.5,2.7,OK
2007,1,25.8,0.7,OK
2007,2,28,-1,OK
2007,3,46.9,10,OK
2007,4,44.3,-2.7,OK
2007,5,59.4,3,OK
2007,6,65.3,0,OK
2007,7,68.4,-1.1,OK
2007,8,71.5,3.1,OK
2007,9,62.8,2.2,OK
2007,10,51.1,2.4,OK
2007,11,37.7,1.4,OK
2007,12,27.4,-0.4,OK
2008,1,25.7,0.6,OK
2008,2,28.4,-0.6,OK
2008,3,37.5,0.6,OK
2008,4,44.5,-2.5,OK
2008,5,55.9,-0.5,OK
2008,6,66.8,1.5,OK
2008,7,69.7,0.2,OK
2008,8,68.4,0,OK
2008,9,58.5,-2.1,OK
2008,10,46.9,-1.8,OK
2008,11,36.9,0.6,OK
2008,12,25.9,-1.9,OK
2009,1,23.7,-1.4,OK
2009,2,33.3,4.3,OK
2009,3,39.8,2.9,OK
2009,4,45.3,-1.7,OK
2009,5,55.2,-1.2,OK
2009,6,67.3,2,OK
2009,7,68.2,-1.3,OK
2009,8,67,-1.4,OK
2009,9,59.6,-1,OK
2009,10,45,-3.7,OK
2009,11,41.5,5.2,OK
2009,12,23.8,-4,OK
2010,1,24.8,-0.3,OK
2010,2,27.5,-1.5,OK
2010,3,37.2,0.3,OK
2010,4,49.4,2.4,OK
2010,5,56.4,0,OK
2010,6,70,4.7,OK
2010,7,71.9,2.4,OK
2010,8,70.8,2.4,OK
2010,9,62.9,2.3,OK
2010,10,47.1,-1.6,OK
2010,11,37.5,1.2,OK
2010,12,28,0.2,OK
2011,1,21.9,-3.2,OK
2011,2,26.1,-2.9,OK
2011,3,40.2,3.3,OK
2011,4,47.7,0.7,OK
2011,5,55.1,-1.3,OK
2011,6,70,4.7,OK
