LSU Tissue#,Date Collected,Location,Lat.,Long.,Sex,Culmen Length (mm),Tarsus (mm),Wing Chord (mm),Tail (mm),Mass (g),Fat Mass (g),Lean Mass (g)
B-97043,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,10.8,16.31,141,78,35.11,NA,NA
B-97044,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,10.67,15.79,149,75,36.02,4.36,26.82
B-97045,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,11.01,16.32,144,78,33.67,4.11,25
B-97046,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,11,15.21,143,76,33.33,3.82,24.3
B-97047,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,11.51,16.49,150,80,33.28,4.45,23.92
B-97048,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,10.66,14.7,143,73,33.96,4.21,25.14
B-97049,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,11.62,15,148,78,38.96,4.79,28.95
B-97050,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,10.67,14.96,140,73,29.53,3.87,21.17
B-97051,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,11.43,14.77,141,75,35.05,4.1,26.88
B-97052,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,11.81,15.03,143,72,34.57,3.84,25.46
B-97053,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,10.06,14.93,140,68,33.41,4.63,23.61
B-97054,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,11.24,15.98,144,69,34.69,4.66,24.93
B-97055,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,10.33,15.67,140,70,31.92,3.84,23.6
B-97056,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,11.38,15.56,153,76,33.07,3.68,24.36
B-97057,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,10.46,14.5,142,74,31.46,5.21,22
B-97058,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,11.06,14.65,146,77,32.18,3.95,23.78
B-97059,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,11.25,15.03,141,73,33.22,NA,NA
B-97060,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,11.33,15.05,149,73,32.83,3.91,24.09
