ID,Capture Date,Location,Coordinates,Age,Sex,Bird Mass (g),Wing Chord (mm)
284126807,5/27/21,Austin,"30.32, -97.74",ASY,F,51.1,144
284126808,5/27/21,Austin,"30.32, -97.74",ASY,M,47.5,148
284126809,5/27/21,Austin,"30.32, -97.74",ASY,M,47.3,142.5
284126810,5/27/21,Austin,"30.32, -97.74",ASY,F,53.5,146
284126811,5/27/21,Austin,"30.32, -97.74",ASY,F,52.6,143
284126812,5/27/21,Austin,"30.32, -97.74",ASY,M,55.9,155.5
284126813,5/27/21,Austin,"30.32, -97.74",ASY,M,49.1,151
284126814,5/27/21,Austin,"30.32, -97.74",ASY,F,53.8,143
284126815,5/27/21,Austin,"30.32, -97.74",ASY,M,53.4,143.5
284126816,5/27/21,Austin,"30.32, -97.74",ASY,F,52.6,144
284126817,5/27/21,Austin,"30.32, -97.74",ASY,F,52.6,147
284126818,5/27/21,Austin,"30.32, -97.74",ASY,F,53,146.5
284126819,5/27/21,Austin,"30.32, -97.74",ASY,F,54,146
284126820,5/27/21,Austin,"30.32, -97.74",ASY,F,47.2,144.5
284126838,5/29/21,Fate,"32.95, -96.39",ASY,F,63.6,149
284126839,5/29/21,Fate,"32.95, -96.39",SY,F,52.7,145.5
284126840,5/29/21,Fate,"32.95, -96.39",SY,F,55.8,144
284126841,5/29/21,Fate,"32.95, -96.39",ASY,F,53,142
284126842,5/29/21,Fate,"32.95, -96.39",ASY,F,65.8,143
284126843,5/29/21,Fate,"32.95, -96.39",ASY,M,56.2,149.5
284126844,5/29/21,Fate,"32.95, -96.39",ASY,M,52.4,140.5
284109201,5/30/21,Giddings,"30.21, -96.90",ASY,F,53.2,146
284109202,5/30/21,Giddings,"30.21, -96.90",SY,F,51.1,141
284109204,5/30/21,Giddings,"30.21, -96.90",ASY,M,50.2,150.5
TX-120,5/30/21,Giddings,"30.21, -96.90",SY,F,57.6,146
284123258,5/25/21,Gonzales,"29.51, -97.41",SY,M,51.7,151.5
284123259,5/25/21,Gonzales,"29.51, -97.41",ASY,F,47,140
284123260,5/25/21,Gonzales,"29.51, -97.41",ASY,M,50.1,151.5
284123261,5/25/21,Gonzales,"29.51, -97.41",ASY,F,NA,146
284123262,5/25/21,Gonzales,"29.51, -97.41",ASY,F,47.2,147
284123263,5/25/21,Gonzales,"29.51, -97.41",ASY,F,47.3,145
284123264,5/25/21,Gonzales,"29.51, -97.41",ASY,M,45.2,148
284123265,5/25/21,Gonzales,"29.51, -97.41",ASY,F,46.5,150.5
284123266,5/25/21,Gonzales,"29.51, -97.41",ASY,M,45.4,147
284123267,5/25/21,Gonzales,"29.51, -97.41",ASY,M,46,146.5
284123268,5/25/21,Gonzales,"29.51, -97.41",ASY,F,44,147
284123269,5/25/21,Gonzales,"29.51, -97.41",ASY,M,49.2,150
284123246,5/23/21,Liberty,"30.06, -94.79",ASY,M,46.9,152
284123247,5/23/21,Liberty,"30.06, -94.79",ASY,F,49.4,145
284123248,5/23/21,Liberty,"30.06, -94.79",ASY,M,58.4,149
284123249,5/23/21,Liberty,"30.06, -94.79",ASY,F,53.4,147
284123294,5/26/21,Llano,"30.76, -98.75",ASY,M,51.2,149.5
284123295,5/26/21,Llano,"30.76, -98.75",ASY,F,53.7,142
284123296,5/26/21,Llano,"30.76, -98.75",ASY,M,56.5,146
284123297,5/26/21,Llano,"30.76, -98.75",ASY,F,55,147
284123298,5/26/21,Llano,"30.76, -98.75",ASY,F,52.5,143.5
284123299,5/26/21,Llano,"30.76, -98.75",ASY,F,55.6,142
284123283,5/26/21,Natalia,"29.20, -98.83",ASY,F,46.8,147
284123284,5/26/21,Natalia,"29.20, -98.83",ASY,F,48.3,146
284123285,5/26/21,Natalia,"29.20, -98.83",ASY,F,47.7,145.5
284123287,5/26/21,Natalia,"29.20, -98.83",ASY,M,51.5,147
284123270,5/25/21,New Braunfels,"29.67, -98.11",ASY,F,56.4,145.5
284123271,5/25/21,New Braunfels,"29.67, -98.11",SY,M,52,149
284123272,5/25/21,New Braunfels,"29.67, -98.11",ASY,F,49,142
284123273,5/25/21,New Braunfels,"29.67, -98.11",ASY,F,57.7,152.5
284123274,5/25/21,New Braunfels,"29.67, -98.11",ASY,M,51.8,145
284123275,5/25/21,New Braunfels,"29.67, -98.11",ASY,M,46.2,140
284123276,5/25/21,New Braunfels,"29.67, -98.11",ASY,F,53.4,147
284123290,5/26/21,San Antonio2,"29.42, -98.64",,F,49,140
284123291,5/26/21,San Antonio2,"29.42, -98.64",ASY,F,48.7,148
284123292,5/26/21,San Antonio2,"29.42, -98.64",ASY,M,47,148
284123293,5/26/21,San Antonio2,"29.42, -98.64",ASY,F,55.7,141
284126845,5/30/21,South Lake,"32.97, -97.14",ASY,F,50.5,143.5
284126846,5/30/21,South Lake,"32.97, -97.14",ASY,M,52.2,151
284126847,5/30/21,South Lake,"32.97, -97.14",ASY,F,48.2,145
284126848,5/30/21,South Lake,"32.97, -97.14",ASY,F,51.1,147
284126849,5/30/21,South Lake,"32.97, -97.14",ASY,F,55.8,145.5
284126850,5/30/21,South Lake,"32.97, -97.14",ASY,M,55.5,141.5
284126851,5/30/21,South Lake,"32.97, -97.14",ASY,M,52.2,148.5
284126852,5/30/21,South Lake,"32.97, -97.14",ASY,F,53.6,141.5
284126853,5/30/21,South Lake,"32.97, -97.14",ASY,M,50.9,150.5
284126831,5/29/21,Trinidad,"32.20, -96.09",ASY,F,52.2,144
284126832,5/29/21,Trinidad,"32.20, -96.09",ASY,F,51.8,142.5
284126833,5/29/21,Trinidad,"32.20, -96.09",ASY,F,53,143
284126834,5/29/21,Trinidad,"32.20, -96.09",ASY,F,52.5,139
284126835,5/29/21,Trinidad,"32.20, -96.09",ASY,F,47.6,142
284126836,5/29/21,Trinidad,"32.20, -96.09",ASY,M,50.9,145
284126837,5/29/21,Trinidad,"32.20, -96.09",ASY,M,50.6,145.5
