ID,Cohort,Collection Date,Locale,Latitude,Longitude,Age,Sex,NCBI BioSample Accession
284123246,Survivor,5/23/21,Liberty,30.06,-94.79,ASY,M,SAMN47568500
284123247,Survivor,5/23/21,Liberty,30.06,-94.79,ASY,F,SAMN47568501
284123248,Survivor,5/23/21,Liberty,30.06,-94.79,ASY,M,SAMN47568502
284123249,Survivor,5/23/21,Liberty,30.06,-94.79,ASY,F,SAMN47568503
284123258,Survivor,5/25/21,Gonzales ,29.51,-97.41,SY,M,SAMN47568504
284123259,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,F,SAMN47568505
284123260,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,M,SAMN47568506
284123261,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,F,SAMN47568507
284123262,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,F,SAMN47568508
284123263,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,F,SAMN47568509
284123264,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,M,SAMN47568510
284123265,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,F,SAMN47568511
284123266,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,M,SAMN47568512
284123267,Survivor,5/25/21,Gonzales ,29.51,-97.41,ASY,M,SAMN47568513
284123270,Survivor,5/25/21,New Braunfels,29.67,-98.11,ASY,F,SAMN47568514
284123271,Survivor,5/25/21,New Braunfels,29.67,-98.11,SY,M,SAMN47568515
284123272,Survivor,5/25/21,New Braunfels,29.67,-98.11,ASY,F,SAMN47568516
284123274,Survivor,5/25/21,New Braunfels,29.67,-98.11,ASY,M,SAMN47568517
284123283,Survivor,5/26/21,Natalia,29.2,-98.83,ASY,F,SAMN47568518
284123284,Survivor,5/26/21,Natalia,29.2,-98.83,ASY,F,SAMN47568519
284123285,Survivor,5/26/21,Natalia,29.2,-98.83,ASY,F,SAMN47568520
284123294,Survivor,5/26/21,Llano ,30.76,-98.75,ASY,M,SAMN47568521
284123295,Survivor,5/26/21,Llano ,30.76,-98.75,ASY,F,SAMN47568522
284123296,Survivor,5/26/21,Llano ,30.76,-98.75,ASY,M,SAMN47568523
284126807,Survivor,5/27/21,Austin,30.32,-97.74,ASY,F,SAMN47568524
284126808,Survivor,5/27/21,Austin,30.32,-97.74,ASY,M,SAMN47568525
284126809,Survivor,5/27/21,Austin,30.32,-97.74,ASY,M,SAMN47568526
284126810,Survivor,5/27/21,Austin,30.32,-97.74,ASY,F,SAMN47568527
284126811,Survivor,5/27/21,Austin,30.32,-97.74,ASY,F,SAMN47568528
284126812,Survivor,5/27/21,Austin,30.32,-97.74,ASY,M,SAMN47568529
284126813,Survivor,5/27/21,Austin,30.32,-97.74,ASY,M,SAMN47568530
284126835,Survivor,5/29/21,Trinidad,32.2,-96.09,ASY,F,SAMN47568531
284126836,Survivor,5/29/21,Trinidad,32.2,-96.09,ASY,M,SAMN47568532
284126837,Survivor,5/29/21,Trinidad,32.2,-96.09,ASY,M,SAMN47568533
284126838,Survivor,5/29/21,Fate,32.95,-96.39,ASY,F,SAMN47568534
284126839,Survivor,5/29/21,Fate,32.95,-96.39,SY,F,SAMN47568535
284126841,Survivor,5/29/21,Fate,32.95,-96.39,ASY,F,SAMN47568536
