Location,Latitude,Longitude
"Sulfur, LA",30.11191,-93.35117
"Fate, TX",32.94873,-96.39394
"Natalia, TX",29.20179,-98.82765
"Corpus Christi, TX",27.70087,-97.40669
"Denham Springs, LA",30.49551,-90.93583
"Yantis, TX",32.93144,-95.57547
"Grosse Tete, LA",30.39791,-91.41754
"Thibodaux, LA",29.77199,-90.81572
"DeQuincy, LA",30.3449,-93.4797
"Bunkie, LA",30.95174,-92.19211
"Bunkie, LA",30.9548,-92.18466
"Gonzalez, TX",29.51081,-97.41212
"South Lake, TX",32.95373,-97.14743
"Corpus Christi, TX",27.65273,-97.40683
"Maurice, LA",30.0776,-92.20336
"Llano, TX",30.76104,-98.75124
"Edinburg, TX",26.29081,-98.13523
"Giddings, TX",30.18553,-96.93325
"Corpus Christi, TX",27.59084,-97.2361
"Bunkie, LA",30.96027,-92.19869
"Liberty, TX",30.06205,-94.7939
"Trinidad, TX",32.20169,-96.09301
"New Braunfels, TX",29.66543,-98.11427
"San Antonio, TX",29.5028,-98.47732
"San Antonio, TX",29.45857,-98.50339
"Corpus Christi, TX",27.601,-97.22818
"Port Arthur, TX",29.96808,-93.91196
"Golden Meadow, LA",29.40661,-90.27441
"Bentley, LA",31.51354,-92.49305
"Austin, TX",30.3125,-97.74064
