Latitude,Longitude,Adult Arrival Date
30.3626612,-92.3404035,12/21/20
27.1278855,-82.4041012,12/23/20
28.0015485,-81.9401828,12/30/20
28.4021538,-80.777359,12/31/20
28.316842,-81.4180898,1/1/21
27.3648333,-80.3559684,1/2/21
27.74013,-80.5250049,1/2/21
27.9176383,-80.616257,1/3/21
28.1318092,-80.6528725,1/3/21
28.070297,-82.17273,1/3/21
26.4778604,-80.1464742,1/3/21
27.5537611,-81.4567156,1/4/21
27.2326287,-80.2766021,1/4/21
28.9117725,-81.9948533,1/4/21
28.0259937,-82.0799294,1/4/21
29.2023753,-82.4620821,1/5/21
29.6755869,-90.5452406,1/5/21
27.0852367,-82.3783244,1/5/21
29.6884651,-91.3041173,1/6/21
28.489642,-81.2952762,1/6/21
28.2698204,-80.7155078,1/6/21
27.8408534,-82.1807885,1/7/21
26.6984849,-81.83267,1/7/21
28.8798228,-81.1895842,1/7/21
26.1712144,-81.7174349,1/8/21
26.5495176,-81.9830748,1/8/21
28.0651807,-81.6539559,1/8/21
26.1007794,-80.1583614,1/9/21
28.0705133,-81.7638548,1/9/21
28.563022,-81.2397072,1/10/21
27.8729598,-80.6423099,1/10/21
28.1973879,-80.6918325,1/10/21
29.2437549,-82.2465947,1/10/21
27.8772259,-82.7716344,1/10/21
28.2163807,-81.3284746,1/11/21
26.2021886,-81.655796,1/11/21
27.8671705,-82.2420741,1/12/21
31.2800436,-83.2657316,1/12/21
31.2699811,-85.8223005,1/13/21
27.6656498,-82.3639724,1/13/21
26.5776042,-80.0865572,1/13/21
30.699069,-86.769527,1/13/21
26.2742252,-80.1743445,1/13/21
27.006288,-82.2292537,1/14/21
29.5278742,-97.3469684,1/15/21
25.5998322,-80.3550766,1/15/21
31.353915,-85.4245969,1/15/21
26.1710007,-80.1524745,1/15/21
28.3190339,-80.6372441,1/15/21
26.6311909,-80.2324449,1/16/21
30.4554403,-85.0476005,1/16/21
26.5080834,-81.9653714,1/16/21
26.6303994,-80.2615804,1/17/21
29.6723118,-90.7110118,1/17/21
30.0775906,-92.203376,1/18/21
29.056505,-82.0323911,1/18/21
27.5769974,-80.3964281,1/18/21
28.339143,-80.612545,1/18/21
26.478273,-81.8558384,1/18/21
30.7176803,-87.3646138,1/18/21
27.172132,-80.3378089,1/19/21
28.0368275,-81.9632603,1/19/21
28.661576,-81.7802953,1/19/21
30.6051696,-89.9784554,1/19/21
26.8094296,-80.115225,1/19/21
26.8094296,-80.115225,1/19/21
30.3835314,-91.2046042,1/19/21
29.7582059,-90.8009368,1/19/21
31.3076574,-83.5234979,1/19/21
26.1099802,-80.2396028,1/19/21
30.0199992,-90.464027,1/19/21
31.784284,-85.682382,1/19/21
31.0682056,-92.0434124,1/19/21
