CHROM,BIN_START,N_SNPS,TajimaD,POP,psCHROM,psBIN_START,psN_SNPS,psTajimaD,psPOP
scaffold1,0,88,-1.35838,STORM,scaffold1,0,93,-1.35954,postSTORM
scaffold1,25000,222,-1.37316,STORM,scaffold1,25000,226,-1.25766,postSTORM
scaffold1,50000,209,-0.743193,STORM,scaffold1,50000,256,-1.0672,postSTORM
scaffold1,75000,234,-1.14384,STORM,scaffold1,75000,278,-1.36742,postSTORM
scaffold1,100000,189,-0.810631,STORM,scaffold1,100000,217,-1.01624,postSTORM
scaffold1,125000,255,-0.943873,STORM,scaffold1,125000,272,-1.03478,postSTORM
scaffold1,150000,266,-1.10994,STORM,scaffold1,150000,276,-1.17441,postSTORM
scaffold1,175000,225,-0.547071,STORM,scaffold1,175000,268,-0.817696,postSTORM
scaffold1,200000,186,-0.785854,STORM,scaffold1,200000,208,-0.7367,postSTORM
scaffold1,225000,179,-0.96105,STORM,scaffold1,225000,245,-1.09652,postSTORM
scaffold1,250000,260,-0.736969,STORM,scaffold1,250000,293,-0.931708,postSTORM
scaffold1,275000,266,-0.570175,STORM,scaffold1,275000,303,-0.617067,postSTORM
scaffold1,300000,288,-0.532394,STORM,scaffold1,300000,328,-0.591662,postSTORM
scaffold1,325000,276,-1.13286,STORM,scaffold1,325000,274,-0.98854,postSTORM
scaffold1,350000,273,-1.18023,STORM,scaffold1,350000,273,-1.5194,postSTORM
scaffold1,375000,236,-0.85789,STORM,scaffold1,375000,250,-0.954415,postSTORM
scaffold1,400000,258,-0.90355,STORM,scaffold1,400000,273,-0.810604,postSTORM
scaffold1,425000,269,-0.673756,STORM,scaffold1,425000,282,-0.702662,postSTORM
scaffold1,450000,376,-0.580431,STORM,scaffold1,450000,350,-0.486504,postSTORM
scaffold1,475000,272,-0.547587,STORM,scaffold1,475000,285,-0.508857,postSTORM
scaffold1,500000,220,-1.27566,STORM,scaffold1,500000,236,-1.2747,postSTORM
scaffold1,525000,258,-0.72376,STORM,scaffold1,525000,256,-0.539985,postSTORM
scaffold1,550000,211,-0.444663,STORM,scaffold1,550000,204,-0.439816,postSTORM
scaffold1,575000,160,-1.22802,STORM,scaffold1,575000,171,-1.25834,postSTORM
scaffold1,600000,219,-0.682603,STORM,scaffold1,600000,236,-0.747857,postSTORM
scaffold1,625000,284,-0.731453,STORM,scaffold1,625000,310,-0.729276,postSTORM
scaffold1,650000,214,-1.13515,STORM,scaffold1,650000,228,-1.19929,postSTORM
scaffold1,675000,252,-0.780234,STORM,scaffold1,675000,255,-0.773153,postSTORM
scaffold1,700000,321,-0.726277,STORM,scaffold1,700000,349,-0.794261,postSTORM
scaffold1,725000,325,-0.71207,STORM,scaffold1,725000,354,-0.832504,postSTORM
scaffold1,750000,288,-0.399912,STORM,scaffold1,750000,326,-0.60933,postSTORM
scaffold1,775000,296,-0.856943,STORM,scaffold1,775000,314,-1.10792,postSTORM
scaffold1,800000,288,-0.492082,STORM,scaffold1,800000,322,-0.666801,postSTORM
scaffold1,825000,244,-0.659044,STORM,scaffold1,825000,254,-0.864667,postSTORM
scaffold1,850000,319,-1.08357,STORM,scaffold1,850000,312,-1.00256,postSTORM
scaffold1,875000,237,-0.985538,STORM,scaffold1,875000,233,-0.937289,postSTORM
scaffold1,900000,259,-1.20491,STORM,scaffold1,900000,271,-1.0728,postSTORM
scaffold1,925000,280,-0.937489,STORM,scaffold1,925000,314,-0.885616,postSTORM
scaffold1,950000,248,-1.23711,STORM,scaffold1,950000,264,-1.02911,postSTORM
scaffold1,975000,236,-0.856569,STORM,scaffold1,975000,281,-1.11605,postSTORM
scaffold1,1000000,308,-0.720079,STORM,scaffold1,1000000,331,-0.774243,postSTORM
scaffold1,1025000,301,-0.540594,STORM,scaffold1,1025000,301,-0.704244,postSTORM
scaffold1,1050000,242,-1.03407,STORM,scaffold1,1050000,253,-1.11219,postSTORM
scaffold1,1075000,274,-0.581536,STORM,scaffold1,1075000,298,-0.578396,postSTORM
scaffold1,1100000,317,-0.632897,STORM,scaffold1,1100000,316,-0.443797,postSTORM
scaffold1,1125000,278,-1.35315,STORM,scaffold1,1125000,293,-0.971068,postSTORM
scaffold1,1150000,244,-0.663507,STORM,scaffold1,1150000,261,-0.649024,postSTORM
scaffold1,1175000,257,-0.874617,STORM,scaffold1,1175000,326,-1.1993,postSTORM
scaffold1,1200000,291,-0.960603,STORM,scaffold1,1200000,268,-0.802208,postSTORM
scaffold1,1225000,275,-0.924738,STORM,scaffold1,1225000,257,-0.543725,postSTORM
scaffold1,1250000,224,-0.983031,STORM,scaffold1,1250000,231,-0.792673,postSTORM
scaffold1,1275000,222,-0.97068,STORM,scaffold1,1275000,244,-0.888788,postSTORM
scaffold1,1300000,260,-0.553295,STORM,scaffold1,1300000,273,-0.718339,postSTORM
scaffold1,1325000,299,-0.996131,STORM,scaffold1,1325000,336,-1.1048,postSTORM
scaffold1,1350000,236,-0.26638,STORM,scaffold1,1350000,263,-0.375935,postSTORM
scaffold1,1375000,268,-0.263229,STORM,scaffold1,1375000,314,-0.603017,postSTORM
scaffold1,1400000,298,-1.16157,STORM,scaffold1,1400000,321,-1.52467,postSTORM
scaffold1,1425000,273,-0.907237,STORM,scaffold1,1425000,318,-1.13899,postSTORM
scaffold1,1450000,195,-1.0743,STORM,scaffold1,1450000,223,-1.30425,postSTORM
scaffold1,1475000,257,-0.250698,STORM,scaffold1,1475000,292,-0.619919,postSTORM
scaffold1,1500000,245,-0.616364,STORM,scaffold1,1500000,312,-1.03496,postSTORM
scaffold1,1525000,293,-0.536167,STORM,scaffold1,1525000,338,-0.915038,postSTORM
scaffold1,1550000,225,-0.623427,STORM,scaffold1,1550000,271,-0.866289,postSTORM
scaffold1,1575000,306,-0.271153,STORM,scaffold1,1575000,344,-0.395025,postSTORM
scaffold1,1600000,186,-0.563048,STORM,scaffold1,1600000,211,-0.813384,postSTORM
scaffold1,1625000,248,0.0567795,STORM,scaffold1,1625000,297,-0.490466,postSTORM
scaffold1,1650000,207,-0.738767,STORM,scaffold1,1650000,280,-1.22427,postSTORM
scaffold1,1675000,343,-0.475538,STORM,scaffold1,1675000,419,-1.26795,postSTORM
scaffold1,1700000,244,-0.593022,STORM,scaffold1,1700000,295,-1.16839,postSTORM
scaffold1,1725000,163,-0.684816,STORM,scaffold1,1725000,174,-0.703263,postSTORM
scaffold1,1750000,278,-0.732723,STORM,scaffold1,1750000,317,-0.837389,postSTORM
scaffold1,1775000,223,-0.73285,STORM,scaffold1,1775000,258,-0.867259,postSTORM
scaffold1,1800000,195,-0.27882,STORM,scaffold1,1800000,250,-0.811412,postSTORM
scaffold1,1825000,204,-0.670933,STORM,scaffold1,1825000,274,-1.37977,postSTORM
scaffold1,1850000,216,-0.940974,STORM,scaffold1,1850000,258,-1.37636,postSTORM
scaffold1,1875000,178,-0.753222,STORM,scaffold1,1875000,225,-1.27639,postSTORM
scaffold1,1900000,282,-0.0577423,STORM,scaffold1,1900000,338,-0.571622,postSTORM
scaffold1,1925000,246,0.306783,STORM,scaffold1,1925000,283,-0.359278,postSTORM
scaffold1,1950000,210,-0.0553606,STORM,scaffold1,1950000,247,-0.427981,postSTORM
scaffold1,1975000,280,-0.543904,STORM,scaffold1,1975000,353,-0.930219,postSTORM
scaffold1,2000000,327,-0.955557,STORM,scaffold1,2000000,385,-1.11101,postSTORM
scaffold1,2025000,227,-0.681657,STORM,scaffold1,2025000,240,-0.708363,postSTORM
scaffold1,2050000,282,-1.1541,STORM,scaffold1,2050000,285,-1.10895,postSTORM
scaffold1,2075000,212,-0.826757,STORM,scaffold1,2075000,222,-0.841957,postSTORM
scaffold1,2100000,236,-0.443035,STORM,scaffold1,2100000,263,-0.618938,postSTORM
scaffold1,2125000,191,-0.89818,STORM,scaffold1,2125000,204,-0.816049,postSTORM
scaffold1,2150000,260,-0.941678,STORM,scaffold1,2150000,303,-0.983305,postSTORM
scaffold1,2175000,251,-1.01493,STORM,scaffold1,2175000,305,-1.13328,postSTORM
scaffold1,2200000,260,-0.182168,STORM,scaffold1,2200000,310,-0.608746,postSTORM
scaffold1,2225000,252,-1.37458,STORM,scaffold1,2225000,291,-1.63498,postSTORM
scaffold1,2250000,227,-1.14403,STORM,scaffold1,2250000,253,-1.19679,postSTORM
