CHROM,BIN_START,BIN_END,N_VARIANTS,WEIGHTED_FST,MEAN_FST,best_chick_chr,best_chick_id,orientation,pos,SNP
scaffold460,1,25000,87,-1.76E-05,-0.00163101,1,1,-1,12501,scaffold460_1
scaffold460,25001,50000,104,0.00191587,0.000718457,1,1,-1,37501,scaffold460_25001
scaffold460,50001,75000,192,0.00755787,0.00134064,1,1,-1,62501,scaffold460_50001
scaffold460,75001,100000,258,0.0061468,0.00244581,1,1,-1,87501,scaffold460_75001
scaffold460,100001,125000,224,-0.00372713,-0.00128137,1,1,-1,112501,scaffold460_100001
scaffold460,125001,150000,266,0.00253592,0.00302253,1,1,-1,137501,scaffold460_125001
scaffold460,150001,175000,250,-0.00199864,-0.00238488,1,1,-1,162501,scaffold460_150001
scaffold460,175001,200000,11,-0.00652873,0.00216693,1,1,-1,187501,scaffold460_175001
scaffold269,1,25000,644,6.59E-05,-0.000300827,1,2,1,212501,scaffold269_1
scaffold269,25001,50000,566,0.00218798,0.000664908,1,2,1,237501,scaffold269_25001
scaffold269,50001,75000,214,-0.000334751,-0.000613266,1,2,1,262501,scaffold269_50001
scaffold269,75001,100000,406,-0.00325704,-0.00207026,1,2,1,287501,scaffold269_75001
scaffold269,100001,125000,11,-0.0106144,-0.00974325,1,2,1,312501,scaffold269_100001
scaffold269,125001,150000,56,-0.00941434,-0.00576552,1,2,1,337501,scaffold269_125001
scaffold269,150001,175000,60,-0.00651407,-0.00497601,1,2,1,362501,scaffold269_150001
scaffold269,175001,200000,14,-0.000461688,0.00580764,1,2,1,387501,scaffold269_175001
scaffold269,200001,225000,97,0.00789862,0.000971792,1,2,1,412501,scaffold269_200001
scaffold269,225001,250000,24,-0.00943631,-0.00754006,1,2,1,437501,scaffold269_225001
scaffold269,250001,275000,202,-0.00530987,-0.00389287,1,2,1,462501,scaffold269_250001
scaffold269,275001,300000,92,-0.00341783,-0.00191241,1,2,1,487501,scaffold269_275001
scaffold269,300001,325000,46,-0.00293836,-0.00335649,1,2,1,512501,scaffold269_300001
scaffold269,325001,350000,3,-0.00332883,0.00117676,1,2,1,537501,scaffold269_325001
scaffold66,1,25000,436,-0.00266126,-0.00266072,1,3,-1,562501,scaffold66_1
scaffold66,25001,50000,487,0.0088147,0.00810535,1,3,-1,587501,scaffold66_25001
scaffold66,50001,75000,463,0.00592523,0.0046691,1,3,-1,612501,scaffold66_50001
scaffold66,75001,100000,393,0.0037427,0.00145805,1,3,-1,637501,scaffold66_75001
scaffold66,100001,125000,454,0.00313215,0.0014517,1,3,-1,662501,scaffold66_100001
scaffold66,125001,150000,333,0.00307214,0.000894968,1,3,-1,687501,scaffold66_125001
scaffold66,150001,175000,379,0.00308257,0.00406656,1,3,-1,712501,scaffold66_150001
